Scenario,ID,owner_id,org_ids,input_stream_defs,output_stream_defs,dpd/name,dpd/description,dpd/module,dpd/class_name,dpd/parameters
STOP!,"Changes to this doc can break the nose tests or interfere with test systems!  BEFORE making changes, please read https://confluence.oceanobservatories.org/display/CIDev/Preload+development.  AFTER making changes, please TEST, make a copy of this sheet, and commit the new URL to ion_loader.py!",,,,,,,,,
BETA,DPD1,USER_1,MF_3,StreamDef12,"{'conductivity':'StreamDef13','temperature':'StreamDef14','pressure':'StreamDef15'}",CTD_L0 demo,L0 - Conductivity/Temp/Pressure,ion.processes.data.transforms.ctd.ctd_L0_all,ctd_L0_all,
BETA,DPD2,USER_1,MF_3,StreamDef13,{'conductivity':'StreamDef16'},CONDWAT L1 demo,L1 - Conductivity,ion.processes.data.transforms.ctd.ctd_L1_conductivity,CTDL1ConductivityTransform,
BETA,DPD3,USER_1,MF_3,StreamDef14,{'temperature':'StreamDef17'},TEMPWAT L1 demo,L1 - Temperature,ion.processes.data.transforms.ctd.ctd_L1_temperature,CTDL1TemperatureTransform,
BETA,DPD4,USER_1,MF_3,StreamDef15,{'pressure':'StreamDef18'},PRESWAT L1 demo,L1 - Pressure (Depth),ion.processes.data.transforms.ctd.ctd_L1_pressure,CTDL1PressureTransform,
BETA,DPD5,USER_1,MF_3,StreamDef12,{'salinity':'StreamDef19'},PRACSAL L2 demo,L2 - Practical Salinity,ion.processes.data.transforms.ctd.ctd_L2_salinity,SalinityTransform,
BETA,DPD6,USER_1,MF_3,StreamDef12,{'density':'StreamDef20'},DENSITY L2 demo,L2 - Density,ion.processes.data.transforms.ctd.ctd_L2_density,DensityTransform,
PRESF,DPD21,USER_1,MF_3,StreamDef25,{'absolute_pressure':'StreamDef25'},PRESF L0,PRESF L0 absolute_pressure from Tide Measurement,ion.processes.data.transforms.ctd.presf_L0_splitter,PresfL0Splitter,
PRESF,DPD22,USER_1,MF_3,StreamDef25,{'seafloor_pressure':'StreamDef34'},PRESF L1,PRESF L1 seafloor_pressure from Tide Measurement,ion.processes.data.transforms.ctd.presf_L1,PresfL1Transform,
R2_DEMO,DPD15,USER_1,MF_3,StreamDef12,{'google_dt':'StreamDef21'},GOOGLE_DT,Google datatable components,ion.processes.data.transforms.viz.google_dt,VizTransformGoogleDT,
R2_DEMO,DPD16,USER_1,MF_3,StreamDef12,{'graph':'StreamDef22'},MPL_IMAGES,Matplotlib graphs,ion.processes.data.transforms.viz.matplotlib_graphs,VizTransformMatplotlibGraphs,
,,,,,,,,,,
APE,DPD_LOG,USER_1,MF_3,StreamDef12,{},Granule Logger,Logs receipt of granules,ape.component.logging_transform,LoggingTransform,
PREST,DPD23,USER_1,MF_3,StreamDef49,{'absolute_pressure':'StreamDef49'},PREST L0 ,PREST L0 absolute_pressure,ion.processes.data.transforms.ctd.presf_L0_splitter,PresfL0Splitter,
PREST,DPD24,USER_1,MF_3,StreamDef49,{'seafloor_pressure':'StreamDef89'},PREST L1,PREST L1 seafloor_pressure,ion.processes.data.transforms.ctd.presf_L1,PresfL1Transform,
CTDBP,DPD25,USER_1,MF_3,StreamDef35,{'L0_stream':'StreamDef94'},CTDBP_L0,L0 - Conductivity/Temp/Pressure,ion.processes.data.transforms.ctdbp.ctdbp_L0,CTDBP_L0_all,
CTDBP,DPD26,USER_1,MF_3,StreamDef94,{'L1_stream':'StreamDef95'},CTDBP_L1,L1 - Conductivity/Temp/Pressure,ion.processes.data.transforms.ctdbp.ctdbp_L1,CTDBP_L1_Transform,
CTDBP,DPD27,USER_1,MF_3,StreamDef95,{'salinity':'StreamDef96'},PRACSAL L2 CTDBP,L2 - Practical Salinity from CTDBP Instrument,ion.processes.data.transforms.ctdbp.ctdbp_L2_salinity,CTDBP_SalinityTransform,
CTDBP,DPD28,USER_1,MF_3,StreamDef95,{'density':'StreamDef97'},DENSITY L2 CTDBP,L2 - Density from CTDBP Instrument,ion.processes.data.transforms.ctdbp.ctdbp_L2_density,CTDBP_DensityTransform,