__pk_ResourceAttribute_ID,Information Level,_fk_ObjectType_ID,_fk_ResourceType_ID,Base Attribute,CI ID,Default Widget ID,Description,Name
"2010674","2","2480187","2190017","","2010674","2130023","A place to acknowledge various types of support provided by the project that produced the data","acknowledgement"
"2010435","4","2480186","2190017","","2010435","2130023","List of users who have initiated but not terminated ""acquire"" for the data product","active_user_subscriptions"
"2012001","0","2480185","2190014","2013452","","2130023","The status roll-up that summarizes the entire status of the device","aggregated_status"
"2012002","0","2480185","2190011","2013452","","2130023","The status roll-up that summarizes the entire status of the device","aggregated_status"
"2010037","0","2480187","2190012","","2010037","2130023","","baud_rate_default"
"2010050","0","2480184","2190012","","2010050","2130023","","clock_max_drift"
"2010051","2","2480187","2190012","","2010051","2130023","","clock_notes"
"2010380","0","2480185","2190011","","2010380","2130023","Gives the status as a red, yellow, green or black (unassessed)","communications_status_roll_up"
"2010271","","2480188","2190037","","2010271","2130023","","contact"
"2010273","","2480188","2190038","","2010273","2130023","","contact"
"2010015","2","2480182","2190011","2010784","","2130023","Whether the device can be sent a control message","controllable"
"2010746","2","2480182","2190014","2010784","","2130023","Whether the device can be sent a control message","controllable"
"2010784","2","2480182","2190059","","2010784","2130023","Whether the device can be sent a control message","controllable"
"2010116","0","2480187","2190017","","2010116","2130023","Indicates the OOI-defined processing level","processing_level_code"
"2010117","0","2480187","2190017","","2010117","2130023","The quality control level of the data product.  A = no QC, b = automated QC, c = human QC","quality_control_level"
"2010381","0","2480185","2190011","","2010381","2130023","Gives the status as a red, yellow, green or black (unassessed)","data_status_roll_up"
"2010266","0","2480207","2190037","","2010266","2130023","","dataset_description"
"2010268","","2480187","2190037","","2010268","2130023","url to the resource on an external sytem","dataset_path"
"2010189","0","2480187","2190022","","2010189","2130023","","definition_type"
"2010175","0","2480187","2190020","2012435","","2130023","human-readable description of the resource","description"
"2010532","0","2480187","2190059","2012435","","2130023","human-readable description of the resource","description"
"2010693","0","2480187","2190010","2012435","","2130023","human-readable description of the resource","description"
"2010710","0","2480187","2190071","2012435","","2130023","human-readable description of the resource","description"
"2010730","0","2480187","2190011","2012435","","2130023","human-readable description of the resource","description"
"2010748","0","2480187","2190014","2012435","","2130023","human-readable description of the resource","description"
"2010766","0","2480187","2190045","2012435","","2130023","human-readable description of the resource","description"
"2010899","0","2480187","2190015","2012435","","2130023","human-readable description of the resource","description"
"2010917","0","2480187","2190016","2012435","","2130023","human-readable description of the resource","description"
"2010935","0","2480187","2190017","2012435","","2130023","human-readable description of the resource","description"
"2010986","0","2480187","2190025","2012435","","2130023","human-readable description of the resource","description"
"2011057","0","2480187","2190029","2012435","","2130023","human-readable description of the resource","description"
"2011090","0","2480187","2190032","2012435","","2130023","human-readable description of the resource","description"
"2011142","0","2480187","2190038","2012435","","2130023","human-readable description of the resource","description"
"2011281","0","2480187","2190058","2012435","","2130023","human-readable description of the resource","description"
"2011334","0","2480187","2190062","2012435","","2130023","human-readable description of the resource","description"
"2011496","0","2480187","2190073","2012435","","2130023","human-readable description of the resource","description"
"2011586","0","2480187","2190078","2012435","","2130023","human-readable description of the resource","description"
"2011622","0","2480187","2190080","2012435","","2130023","human-readable description of the resource","description"
"2011658","0","2480187","2190082","2012435","","2130023","human-readable description of the resource","description"
"2011766","0","2480187","2190092","2012435","","2130023","human-readable description of the resource","description"
"2011820","0","2480187","2190100","2012435","","2130023","human-readable description of the resource","description"
"2011856","0","2480187","2190102","2012435","","2130023","human-readable description of the resource","description"
"2011882","0","2480187","2190084","2012435","","2130023","human-readable description of the resource","description"
"2011908","0","2480187","2190094","2012435","","2130023","human-readable description of the resource","description"
"2011934","0","2480187","2190097","2012435","","2130023","human-readable description of the resource","description"
"2011952","0","2480187","2190090","2012435","","2130023","human-readable description of the resource","description"
"2012046","0","2480187","2190110","2012435","","2130023","human-readable description of the resource","description"
"2012064","0","2480187","2190112","2012435","","2130023","human-readable description of the resource","description"
"2012082","0","2480187","2190134","2012435","","2130023","human-readable description of the resource","description"
"2012100","0","2480187","2190108","2012435","","2130023","human-readable description of the resource","description"
"2012172","0","2480187","2190130","2012435","","2130023","human-readable description of the resource","description"
"2012190","0","2480187","2190131","2012435","","2130023","human-readable description of the resource","description"
"2012208","0","2480187","2190135","2012435","","2130023","human-readable description of the resource","description"
"2012226","0","2480187","2190109","2012435","","2130023","human-readable description of the resource","description"
"2012244","0","2480187","2190111","2012435","","2130023","human-readable description of the resource","description"
"2012262","0","2480187","2190133","2012435","","2130023","human-readable description of the resource","description"
"2012435","0","2480187","2190009","","2012435","2130023","human-readable description of the resource","description"
"2012524","0","2480187","2190022","2012435","","2130023","human-readable description of the resource","description"
"2012526","0","2480187","2190037","2012435","","2130023","human-readable description of the resource","description"
"2012528","0","2480187","2190043","2012435","","2130023","human-readable description of the resource","description"
"2012529","0","2480187","2190044","2012435","","2130023","human-readable description of the resource","description"
"2012734","0","2480187","2190012","2012435","","2130023","human-readable description of the resource","description"
"2010073","2","2480187","2190012","","2010073","2130023","","electrical_notes"
"2010018","1","2480187","2190011","","2010018","2130023","Identifier of hard-coded operating system in unit","firmware_version"
"2010228","","2480187","2190030","","2010228","2130023","Identifier of hard-coded operating system in unit","firmware_version"
"2010135","0","2480190","2190017","","2010135","2130023","specifies both limits of the resource's  latitude, longitude, and optionally vertical position, with respect to a geospatial CRS","geospatial_bounds"
"2012836","","2480184","2190082","","2013396","2130023","measurement of device size orthogonal to length and width (typically from bottom to top as mounted or resting) in meters","height"
"2010074","0","2480187","2190012","","2010074","2130023","","hotel_current"
"2010001","0","2480187","2190011","2010688","","2130023","unique ID","_id"
"2010651","0","2480187","2190014","2010688","","2130023","unique ID","_id"
"2010688","0","2480187","2190009","","2010688","2130023","unique ID","_id"
"2010707","0","2480187","2190010","2010688","","2130023","unique ID","_id"
"2010724","0","2480187","2190071","2010688","","2130023","unique ID","_id"
"2010780","0","2480187","2190045","2010688","","2130023","unique ID","_id"
"2010799","0","2480187","2190059","2010688","","2130023","unique ID","_id"
"2010895","0","2480187","2190012","2010688","","2130023","unique ID","_id"
"2010913","0","2480187","2190015","2010688","","2130023","unique ID","_id"
"2010931","0","2480187","2190016","2010688","","2130023","unique ID","_id"
"2010983","0","2480187","2190022","2010688","","2130023","unique ID","_id"
"2011000","0","2480187","2190025","2010688","","2130023","unique ID","_id"
"2011071","0","2480187","2190029","2010688","","2130023","unique ID","_id"
"2011104","0","2480187","2190032","2010688","","2130023","unique ID","_id"
"2011156","0","2480187","2190038","2010688","","2130023","unique ID","_id"
"2011245","0","2480187","2190043","2010688","","2130023","unique ID","_id"
"2011262","0","2480187","2190044","2010688","","2130023","unique ID","_id"
"2011295","0","2480187","2190058","2010688","","2130023","unique ID","_id"
"2011348","0","2480187","2190062","2010688","","2130023","unique ID","_id"
"2011510","0","2480187","2190073","2010688","","2130023","unique ID","_id"
"2011600","0","2480187","2190078","2010688","","2130023","unique ID","_id"
"2011636","0","2480187","2190080","2010688","","2130023","unique ID","_id"
"2011672","0","2480187","2190082","2010688","","2130023","unique ID","_id"
"2011780","0","2480187","2190092","2010688","","2130023","unique ID","_id"
"2011834","0","2480187","2190100","2010688","","2130023","unique ID","_id"
"2011870","0","2480187","2190102","2010688","","2130023","unique ID","_id"
"2011896","0","2480187","2190084","2010688","","2130023","unique ID","_id"
"2011922","0","2480187","2190094","2010688","","2130023","unique ID","_id"
"2011948","0","2480187","2190097","2010688","","2130023","unique ID","_id"
"2011966","0","2480187","2190090","2010688","","2130023","unique ID","_id"
"2011983","0","2480187","2190020","2010688","","2130023","unique ID","_id"
"2012060","0","2480187","2190110","2010688","","2130023","unique ID","_id"
"2012078","0","2480187","2190112","2010688","","2130023","unique ID","_id"
"2012096","0","2480187","2190134","2010688","","2130023","unique ID","_id"
"2012114","0","2480187","2190108","2010688","","2130023","unique ID","_id"
"2012186","0","2480187","2190130","2010688","","2130023","unique ID","_id"
"2012204","0","2480187","2190131","2010688","","2130023","unique ID","_id"
"2012222","0","2480187","2190135","2010688","","2130023","unique ID","_id"
"2012240","0","2480187","2190109","2010688","","2130023","unique ID","_id"
"2012258","0","2480187","2190111","2010688","","2130023","unique ID","_id"
"2012276","0","2480187","2190133","2010688","","2130023","unique ID","_id"
"2012523","0","2480187","2190017","2010688","","2130023","unique ID","_id"
"2012527","0","2480187","2190037","2010688","","2130023","unique ID","_id"
"2010537","4","2480186","2190059","","2010537","2130023","List of URLs with information about the device","reference_urls"
"2010044","1","2480182","2190012","","2010044","2130023","Can you manage the system while it is operating","inline_management"
"2010272","","2480188","2190038","","2010272","2130023","","institution"
"2010033","2","2480186","2190012","","2010033","2130023","The list of instrument classes this instrument model can support","instrument_classes_supported"
"2010032","0","2480187","2190012","","2010032","2130023","The family of instrument","instrument_family"
"2010077","2","2480182","2190012","","2010077","2130023","","integrated_inductive_modem_available"
"2010078","0","2480182","2190012","","2010078","2130023","","internal_battery"
"2010060","0","2480182","2190012","","2010060","2130023","","internal_data_storage"
"2010101","2","2480187","2190015","","2010101","2130023","Whether ION software is run on platform resources","ci_onboard"
"2010120","0","2480187","2190017","","2010120","2130023","From ISO:method used to spatially representgeographic information","iso_spatial_representation_type"
"2010672","2","2480186","2190017","","2010672","2130023","one or more of the topic categories from ISO 19115","iso_topic_category"
"2010111","2","2480186","2190017","","2010111","2130023","Returns a list of keyword/authority pairs with optional urls","descriptors"
"2010152","0","2480203","2190017","","2010152","2130023","the datetime of the earliest and latest values in the data product","data_datetime"
"2011997","0","2480187","2190011","","2011997","2130023","timestamp of most recent record, converted to ISO 861","last_data_received_datetime"
"2010004","0","2480187","2190011","2012436","","2130023","lifecycle state","lcstate"
"2010694","0","2480187","2190010","2012436","","2130023","lifecycle state","lcstate"
"2010711","0","2480187","2190071","2012436","","2130023","lifecycle state","lcstate"
"2010749","0","2480187","2190014","2012436","","2130023","lifecycle state","lcstate"
"2010767","0","2480187","2190045","2012436","","2130023","lifecycle state","lcstate"
"2010786","0","2480187","2190059","2012436","","2130023","lifecycle state","lcstate"
"2010882","0","2480187","2190012","2012436","","2130023","lifecycle state","lcstate"
"2010900","0","2480187","2190015","2012436","","2130023","lifecycle state","lcstate"
"2010918","0","2480187","2190016","2012436","","2130023","lifecycle state","lcstate"
"2010936","0","2480187","2190017","2012436","","2130023","lifecycle state","lcstate"
"2010970","0","2480187","2190022","2012436","","2130023","lifecycle state","lcstate"
"2010987","0","2480187","2190025","2012436","","2130023","lifecycle state","lcstate"
"2011058","0","2480187","2190029","2012436","","2130023","lifecycle state","lcstate"
"2011091","0","2480187","2190032","2012436","","2130023","lifecycle state","lcstate"
"2011126","0","2480187","2190037","2012436","","2130023","lifecycle state","lcstate"
"2011143","0","2480187","2190038","2012436","","2130023","lifecycle state","lcstate"
"2011232","0","2480187","2190043","2012436","","2130023","lifecycle state","lcstate"
"2011249","0","2480187","2190044","2012436","","2130023","lifecycle state","lcstate"
"2011282","0","2480187","2190058","2012436","","2130023","lifecycle state","lcstate"
"2011335","0","2480187","2190062","2012436","","2130023","lifecycle state","lcstate"
"2011497","0","2480187","2190073","2012436","","2130023","lifecycle state","lcstate"
"2011587","0","2480187","2190078","2012436","","2130023","lifecycle state","lcstate"
"2011623","0","2480187","2190080","2012436","","2130023","lifecycle state","lcstate"
"2011659","0","2480187","2190082","2012436","","2130023","lifecycle state","lcstate"
"2011767","0","2480187","2190092","2012436","","2130023","lifecycle state","lcstate"
"2011821","0","2480187","2190100","2012436","","2130023","lifecycle state","lcstate"
"2011857","0","2480187","2190102","2012436","","2130023","lifecycle state","lcstate"
"2011883","0","2480187","2190084","2012436","","2130023","lifecycle state","lcstate"
"2011909","0","2480187","2190094","2012436","","2130023","lifecycle state","lcstate"
"2011935","0","2480187","2190097","2012436","","2130023","lifecycle state","lcstate"
"2011953","0","2480187","2190090","2012436","","2130023","lifecycle state","lcstate"
"2011970","0","2480187","2190020","2012436","","2130023","lifecycle state","lcstate"
"2012047","4","2480187","2190110","2012436","","2130023","lifecycle state","lcstate"
"2012065","4","2480187","2190112","2012436","","2130023","lifecycle state","lcstate"
"2012083","4","2480187","2190134","2012436","","2130023","lifecycle state","lcstate"
"2012101","0","2480187","2190108","2012436","","2130023","lifecycle state","lcstate"
"2012173","0","2480187","2190130","2012436","","2130023","lifecycle state","lcstate"
"2012191","0","2480187","2190131","2012436","","2130023","lifecycle state","lcstate"
"2012209","0","2480187","2190135","2012436","","2130023","lifecycle state","lcstate"
"2012227","0","2480187","2190109","2012436","","2130023","lifecycle state","lcstate"
"2012245","0","2480187","2190111","2012436","","2130023","lifecycle state","lcstate"
"2012263","0","2480187","2190133","2012436","","2130023","lifecycle state","lcstate"
"2012436","","2480187","2190009","","2012436","2130023","lifecycle state","lcstate"
"2012834","","2480184","2190082","","2013394","2130023","measurement of device size, generally along the longest (alternatively, the facing) side-to-side dimension, in meters","length"
"2010122","0","2480187","2190017","","2010122","2130023","Links to a description of the permissions and restrictions for access to and distribution of OOI data","license_uri"
"2010382","0","2480185","2190011","","2010382","2130023","Gives the status as a red, yellow, green or black (unassessed)","location_status_roll_up"
"2010519","2","2480187","2190058","","2010519","2130023","","mac_address"
"2010348","0","2480187","2190082","","2010348","2130023","The name of the manufacturer","manufacturer"
"2010599","4","2480187","2190062","2010348","","2130023","The name of the manufacturer","manufacturer"
"2010173","0","2480187","2190082","","2010173","2130023","The URL of the manufacturer. Note that only one is allowed","manufacturer_url"
"2012920","0","2480187","2190012","2010173","","2130023","The URL of the manufacturer. Note that only one is allowed","manufacturer_url"
"2012925","0","2480187","2190015","2010173","","2130023","The URL of the manufacturer. Note that only one is allowed","manufacturer_url"
"2012931","0","2480187","2190062","2010173","","2130023","The URL of the manufacturer. Note that only one is allowed","manufacturer_url"
"2012943","0","2480187","2190135","2010173","","2130023","The URL of the manufacturer. Note that only one is allowed","manufacturer_url"
"2010728","2","2480187","2190010","","2010728","2130023","can this resource be controlled by messages sent to it","message_controllable"
"2010535","4","2480187","2190082","","2010535","2130023","The model name/code provided by the manufacturer","model"
"2012099","4","2480187","2190108","","2013168","2130023","type of attachment (PDF document, PNG image, etc); expressed as standard MIME types","content_type"
"2010043","1","2480182","2190012","","2010043","2130023","Polled vs...","mixed_sampling_mode"
"2010783","2","2480187","2190010","","2010783","2130023","A device that has a communication port for real-time monitoring","monitorable"
"2010174","0","2480187","2190020","2010690","","2130023","A human-generated, human-readable name. Does not need to be unique.","name"
"2010188","0","2480187","2190022","2010690","","2130023","A human-generated, human-readable name. Does not need to be unique.","name"
"2010371","0","2480187","2190011","2010690","","2130023","A human-generated, human-readable name. Does not need to be unique.","name"
"2010372","0","2480187","2190014","2010690","","2130023","A human-generated, human-readable name. Does not need to be unique.","name"
"2010475","2","2480187","2190058","2010690","","2130023","A human-generated, human-readable name. Does not need to be unique.","name"
"2010531","0","2480187","2190059","2010690","","2130023","A human-generated, human-readable name. Does not need to be unique.","name"
"2010690","0","2480187","2190009","","2010690","2130023","A human-generated, human-readable name. Does not need to be unique.","name"
"2010709","0","2480187","2190010","2010690","","2130023","A human-generated, human-readable name. Does not need to be unique.","name"
"2010726","0","2480187","2190071","2010690","","2130023","A human-generated, human-readable name. Does not need to be unique.","name"
"2010782","0","2480187","2190045","2010690","","2130023","A human-generated, human-readable name. Does not need to be unique.","name"
"2010897","0","2480187","2190012","2010690","","2130023","A human-generated, human-readable name. Does not need to be unique.","name"
"2010915","0","2480187","2190015","2010690","","2130023","A human-generated, human-readable name. Does not need to be unique.","name"
"2010933","0","2480187","2190016","2010690","","2130023","A human-generated, human-readable name. Does not need to be unique.","name"
"2010950","0","2480187","2190017","2010690","","2130023","A human-generated, human-readable name. Does not need to be unique.","name"
"2011002","0","2480187","2190025","2010690","","2130023","A human-generated, human-readable name. Does not need to be unique.","name"
"2011073","0","2480187","2190029","2010690","","2130023","A human-generated, human-readable name. Does not need to be unique.","name"
"2011106","0","2480187","2190032","2010690","","2130023","A human-generated, human-readable name. Does not need to be unique.","name"
"2011140","0","2480187","2190037","2010690","","2130023","A human-generated, human-readable name. Does not need to be unique.","name"
"2011158","0","2480187","2190038","2010690","","2130023","A human-generated, human-readable name. Does not need to be unique.","name"
"2011247","0","2480187","2190043","2010690","","2130023","A human-generated, human-readable name. Does not need to be unique.","name"
"2011264","0","2480187","2190044","2010690","","2130023","A human-generated, human-readable name. Does not need to be unique.","name"
"2011350","0","2480187","2190062","2010690","","2130023","A human-generated, human-readable name. Does not need to be unique.","name"
"2011494","0","2480187","2190111","2010690","","2130023","A human-generated, human-readable name. Does not need to be unique.","name"
"2011512","0","2480187","2190073","2010690","","2130023","A human-generated, human-readable name. Does not need to be unique.","name"
"2011602","0","2480187","2190078","2010690","","2130023","A human-generated, human-readable name. Does not need to be unique.","name"
"2011638","0","2480187","2190080","2010690","","2130023","A human-generated, human-readable name. Does not need to be unique.","name"
"2011674","0","2480187","2190082","2010690","","2130023","A human-generated, human-readable name. Does not need to be unique.","name"
"2011782","0","2480187","2190092","2010690","","2130023","A human-generated, human-readable name. Does not need to be unique.","name"
"2011836","0","2480187","2190100","2010690","","2130023","A human-generated, human-readable name. Does not need to be unique.","name"
"2011872","0","2480187","2190102","2010690","","2130023","A human-generated, human-readable name. Does not need to be unique.","name"
"2011898","0","2480187","2190084","2010690","","2130023","A human-generated, human-readable name. Does not need to be unique.","name"
"2011924","0","2480187","2190094","2010690","","2130023","A human-generated, human-readable name. Does not need to be unique.","name"
"2011950","0","2480187","2190097","2010690","","2130023","A human-generated, human-readable name. Does not need to be unique.","name"
"2011968","0","2480187","2190090","2010690","","2130023","A human-generated, human-readable name. Does not need to be unique.","name"
"2012062","0","2480187","2190110","2010690","","2130023","A human-generated, human-readable name. Does not need to be unique.","name"
"2012080","0","2480187","2190112","2010690","","2130023","A human-generated, human-readable name. Does not need to be unique.","name"
"2012098","0","2480187","2190134","2010690","","2130023","A human-generated, human-readable name. Does not need to be unique.","name"
"2012116","0","2480187","2190108","2010690","","2130023","A human-generated, human-readable name. Does not need to be unique.","name"
"2012188","0","2480187","2190130","2010690","","2130023","A human-generated, human-readable name. Does not need to be unique.","name"
"2012206","0","2480187","2190131","2010690","","2130023","A human-generated, human-readable name. Does not need to be unique.","name"
"2012224","0","2480187","2190135","2010690","","2130023","A human-generated, human-readable name. Does not need to be unique.","name"
"2012242","0","2480187","2190109","2010690","","2130023","A human-generated, human-readable name. Does not need to be unique.","name"
"2012278","0","2480187","2190133","2010690","","2130023","A human-generated, human-readable name. Does not need to be unique.","name"
"2010939","1","2480187","2190017","","2013464","2130023","Indicates the authority that is issuing the IDs, so that people with the product can know how/where to look up the ID..It will indicate the OOI identity in some way (may indicate each Org as they issue their own resource IDs)","naming_authority_id"
"2010305","0","2480185","2190092","","2010305","2130023","Total number of data sets (all types) in the Observatory","number_data_sets"
"2010298","","2480185","2190092","","2010298","2130023","the number of instruments for which the observatory is responsible","number_instruments"
"2010251","0","2480185","2190092","","2010251","2130023","How many instruments are in the water?","number_instruments_deployed"
"2010253","0","2480185","2190092","","2010253","2130023","A count of how many instruments are deployed with lifecycle state not Active or execution state not Operational?","number_instruments_inoperational"
"2010252","0","2480185","2190092","","2010252","2130023","A count of How many instruments are deployed with lifecycle state of Active and execution state of Operational?","number_instruments_operational"
"2010295","","2480185","2190032","","2010295","2130023","","number_org_roles"
"2010302","0","2480185","2190092","","2010302","2130023","the number of platforms for which the observatory is responsible","number_platforms"
"2010303","0","2480185","2190092","","2010303","2130023","How many platforms are in the water?","number_platforms_deployed"
"2010056","2","2480184","2190012","","2010056","2130023","","operational_depth_maximum"
"2010103","0","2480204","2190015","","2010103","2130023","The family of platform, with term from the OOI Node Type list","platform_family"
"2010677","0","2480188","2190017","","2010677","2130023","Returns a list of all ContactInformation objects. Role_list differentiates the different kinds of contacts (e.g. originator, contributor, etc.","contacts"
"2010516","2","","2190058","","2010516","2130023","","port_info"
"2010067","0","2480187","2190012","","2010067","2130023","","power_source"
"2010379","0","2480185","2190011","","2010379","2130023","Gives the status as a red, yellow, green or black (unassessed)","power_status_roll_up"
"2012832","","2480184","2190012","","2013392","2130023","minimum voltage supported by internal power supply","power_supply_voltage_minimum"
"2012833","","2480184","2190012","","2013393","2130023","maximum voltage supported by internal power supply","power_supply_voltage_maximum"
"2010035","0","2480204","2190012","","2010035","2130023","the principal interface by which the instrument communicates (typically via its platform) with OOI","primary_interface"
"2010584","0","2480183","2190016","","2010584","2130023","This is a list of key-value arguments for the user; can be used to specify user configuration information such as the requested UI landing screen","variables"
"2010158","0","2480187","2190092","","2010158","2130023","URL to an external homepage about the observatory","url"
"2012838","","2480186","2190009","","2013400","2130023","Provides a list of the 100 most recent events","recent_events"
"2012843","","2480186","2190010","2012838","","2130023","Provides a list of the 100 most recent events","recent_events"
"2012844","","2480186","2190029","2012838","","2130023","Provides a list of the 100 most recent events","recent_events"
"2012845","","2480186","2190071","2012838","","2130023","Provides a list of the 100 most recent events","recent_events"
